Accuracy,Loss
0.07515924,7.916866
0.25732484,1.9656695
0.25732484,1.4417322
0.302828,1.3611362
0.30007643,1.3715091
0.32412738,1.3716044
0.2664968,1.3951893
0.3267261,1.3844974
0.29136306,1.3952538
0.28030574,1.4316198
0.3358981,1.7790842
0.26563057,1.5052737
0.32769427,1.6798995
0.2762293,1.4871628
0.32178345,1.7243437
0.32494268,1.7503107
0.30721018,2.2337525
0.29885352,2.058781
0.27684078,2.0420732
0.26700637,2.5313852
0.24473885,2.7154138
0.24891719,2.7665381
0.24489172,2.71413
0.18033122,4.6313286
0.1826242,4.4991183
0.16774522,6.1465106
0.15735032,5.7094235
0.13110828,12.23018
0.12907006,11.619031
0.113834396,18.04324
