Accuracy,Loss
0.114292994,4.4035544
0.28519747,1.4110786
0.24489172,1.8447454
0.2955414,1.3977607
0.27266243,1.4992889
0.25594905,1.9733392
0.24270064,2.0609136
0.26048407,1.8442453
0.22359236,2.5271025
0.20020382,3.3844435
0.22507006,2.8959153
0.18175796,3.760731
0.21915923,3.4176579
0.20336306,3.6103027
0.22328663,3.4422448
0.2028535,3.9954627
0.21151592,5.167774
0.20647134,5.2779484
0.16157962,7.2238855
0.17197452,8.725876
0.14298089,11.686078
0.12270064,14.7310295
0.12764332,13.623262
0.09778344,20.51194
0.09431847,25.816534
0.056509554,38.896088
0.057681527,41.630947
0.056815285,54.728046
0.062929936,56.952084
0.054165605,91.5605
