Accuracy,Loss
0.28081527,1.5858593
0.28621656,1.5552464
0.30221656,1.4942166
0.25625476,1.7678175
0.28631848,1.4968534
0.2907516,1.5185338
0.29171973,2.0450513
0.2838726,1.4975576
0.3192866,1.6268572
0.27194905,1.6986749
0.2921274,2.0796137
0.25146496,1.8348373
0.29620382,1.8899273
0.26843312,1.7148942
0.26817834,1.6738763
0.256,1.7166829
0.29650956,1.7356633
0.26965606,1.6317043
0.2876433,1.8978797
0.28978345,1.533358
0.31796178,1.6051708
0.27515924,1.4667984
0.30654776,1.6489319
0.2630828,1.7932246
0.30608916,1.4940028
0.27979618,1.7867049
0.26017836,1.7998638
0.30292994,1.6087497
0.28545222,1.668053
0.257172,2.1041543
