Accuracy,Loss
0.26807642,1.6441325
0.24952866,1.8960698
0.3130191,1.4131844
0.26659873,1.5748959
0.28392357,1.4702642
0.32290447,1.5178646
0.3293758,1.5947969
0.3330446,1.7072275
0.3016051,1.4243822
0.30338854,1.4325048
0.3317707,1.5943046
0.2619618,1.5976553
0.3021656,1.7149525
0.2747516,1.6545665
0.28244585,1.5345542
0.29329938,1.4759624
0.30287898,1.4385918
0.292586,1.4509826
0.3043567,1.5839303
0.286828,1.6060771
0.3198981,1.465211
0.28886625,1.5256517
0.31684077,1.6160516
0.28163058,1.4246225
0.30848408,1.4353693
0.33294266,1.4704632
0.2771465,1.5058404
0.2762293,1.5998026
0.3004841,1.4992791
0.2869809,1.7536273
