Accuracy,Loss
0.09518471,5.36746
0.14649682,3.0927532
0.24733758,1.7289171
0.3082293,1.4937048
0.31994903,1.5057716
0.32305732,1.5781505
0.32473886,1.9043841
0.3373758,1.6415126
0.33044586,1.4529957
0.34084076,1.5101672
0.3402293,1.5609322
0.31709555,1.3673791
0.31128663,1.3751252
0.32290447,1.380322
0.31149045,1.3762457
0.33263695,1.3760189
0.34140128,1.5071241
0.328,1.3693913
0.29732484,1.3489805
0.2764331,1.3596376
0.29732484,1.3380455
0.32366878,1.3418276
0.32010192,1.3374722
0.34140128,1.4101629
0.31571975,1.3406203
0.34211466,1.3649007
0.25971976,1.3948382
0.3046624,1.3457603
0.28035668,1.3428721
0.31607643,1.3441217
