Accuracy,Loss
0.030369427,11.131635
0.07312102,6.952116
0.12901911,3.3728075
0.24219108,1.8785428
0.25910828,1.5665625
0.28336304,1.4397728
0.32835668,1.4121876
0.3260637,1.3894635
0.32881528,1.3543711
0.32805094,1.3432009
0.34624204,1.5786464
0.2734777,1.3529242
0.3335032,1.3410082
0.29864967,1.338047
0.34089172,1.3378816
0.3322293,1.3410782
0.34624204,1.4745487
0.29997453,1.337787
0.2849427,1.3409344
0.2635414,1.3597168
0.29594904,1.3453139
0.34221655,1.331134
0.31536305,1.3343676
0.34624204,1.3845654
0.29273885,1.3341274
0.34542674,1.346434
0.25299364,1.3826869
0.30578345,1.3330665
0.2595159,1.3419808
0.31342676,1.3352414
