Accuracy,Loss
0.046165604,10.13856
0.09513376,5.8467937
0.1604586,2.7584233
0.24208917,1.7964474
0.26797453,1.5004131
0.27994904,1.4604956
0.3219363,1.4222232
0.33564332,1.5168465
0.29090446,1.364571
0.32015288,1.3703732
0.34191084,1.4299346
0.27459872,1.3633437
0.32096815,1.351688
0.31470063,1.3523196
0.3377325,1.3676364
0.33900636,1.3761591
0.34242037,1.4546472
0.2872866,1.3482453
0.26165605,1.3547964
0.26456052,1.3630244
0.310879,1.3416882
0.33360508,1.3528048
0.31959236,1.3498306
0.34242037,1.3968542
0.2716433,1.3522253
0.34242037,1.3765109
0.2545223,1.4006474
0.28147772,1.3517879
0.2865223,1.3493137
0.3223949,1.3506819
