Accuracy,Loss
0.014216561,13.606541
0.058904458,8.404396
0.10858599,4.5192704
0.18517198,2.5668762
0.21187261,2.0674708
0.26486623,1.5730346
0.27633122,1.4702338
0.31286624,1.4002768
0.2682293,1.4917958
0.29605097,1.3843508
0.33982167,1.4276663
0.27495542,1.3456899
0.27536306,1.3414943
0.29090446,1.3401395
0.34782165,1.3968347
0.3378344,1.3579915
0.34726116,1.5131555
0.3330446,1.3547584
0.3018599,1.3475759
0.29640764,1.3441061
0.33019108,1.3470846
0.33202547,1.3632878
0.33319744,1.3663204
0.34323567,1.3647996
0.32040763,1.3282483
0.33182165,1.3640414
0.28718472,1.3595946
0.31994903,1.34924
0.2955414,1.3697296
0.31571975,1.3475149
