Accuracy,Loss
0.07286624,7.8175282
0.24957962,2.152293
0.25299364,1.560771
0.25676432,1.3538541
0.25299364,1.3768996
0.25299364,1.3851614
0.25299364,1.5064855
0.29391083,1.3460381
0.26094267,1.3671955
0.257172,1.4008529
0.35184714,1.4160268
0.2513121,1.7750782
0.35210192,1.6451348
0.2513121,1.5849223
0.3237707,1.4060336
0.3042038,1.4277604
0.30909553,1.4295374
0.24066243,1.7390407
0.24280255,1.7493181
0.28453502,1.5523775
0.28815287,1.6295292
0.30109555,1.6898769
0.221707,2.0848572
0.28963056,1.8730329
0.24596179,2.1122468
0.26563057,2.100153
0.21941401,2.4434237
0.25757962,2.2940614
0.19036943,3.0251846
0.2098344,2.9728699
